N;drug_name;event_name;drug_id;event_id
163;Alendronate;Biliary cirrhosis;1557272;192675
160;Hydromorphone;Aphakia;1126658;381033
159;Amlodipine;Malignant lymphoma - lymphocytic, intermediate differentiation;1332418;440350
156;Methotrexate;Disorder of biliary tract;1305058;197917
154;Guaifenesin;Toxic polyneuropathy;1163944;373470
153;Sodium Chloride;Disorder of hypothalamus;967823;439382
149;candesartan;Closed fracture;1351557;4307254
148;Diphenoxylate;Cervicocranial syndrome;930916;81660
142;pioglitazone;Stricture of ureter;1525215;199065
141;Morphine;Plasma cell neoplasm;1110410;443743
137;Ampicillin;Calculus in urethra;1717327;194091
135;Amitriptyline;Abnormal cervical smear;710062;434165
134;rosiglitazone;Allergic rhinitis due to animal dander;1547504;443558
132;Magnesium Hydroxide;Consciousness and/or awareness finding;992956;440213
130;Ceftriaxone;Lymphadenitis;1777806;316084
129;corn pollen extract;Hyperkalemia;40161610;434610
129;Theophylline;Shaken baby syndrome;1237049;436313
128;Phenobarbital;Malignant tumor of cecum;734275;443391
120;Sodium Acetate;Secondary malignant neoplasm of bone;19077884;78097
119;Rhizopus arrhizus allergenic extract;Ingrowing nail;19013225;139099
117;tizanidine;Viral hepatitis carrier;778474;4015842
116;Nizatidine;Acquired spondylolisthesis;950696;316211
114;Probucol;Retention of urine;19051463;192450
113;Erythromycin;Aseptic necrosis of bone of jaw;1746940;40480852
113;Promethazine;Contusion of ankle;1153013;80573
109;Sodium Acetate;Primary localized osteoarthrosis of pelvic region;19077884;434123
108;Phenytoin;Myotonic cataract;740910;372905
108;Metoclopramide;Ornithosis with pneumonia;906780;252552
108;Amphetamine;Cervical post-laminectomy syndrome;714785;442427
108;olmesartan;Dissection of thoracic aorta;40226742;436136
107;Adenosine Triphosphate;Posterior subcapsular polar cataract;19015230;436976
107;Cefuroxime;Osteoarthritis of elbow;1778162;4083695
106;Desipramine;Hereditary factor VIII deficiency disease;716968;434007
103;Scopolamine;Ankle ulcer;965748;4171556
102;salmeterol;Digestive symptom;1137529;192731
102;Guaifenesin;Spastic hemiplegia;1163944;375528
101;Cholecalciferol;Current tear of medial cartilage AND/OR meniscus of knee;19095164;80242
98;alosetron;Acute sinusitis;948555;260123
98;sweet potato allergenic extract;Nuclear senile cataract;40172590;439297
96;Witch Hazel;Joint pain;959196;77074
93;Neostigmine;Tenderness of right lower quadrant of abdomen;717136;40490986
92;Chlorhexidine;Arrest of bone development AND/OR growth;1790812;73855
92;tiagabine;Mixed bipolar affective disorder, in full remission;715458;439245
91;thyme allergenic extract;Hypokalemia;40175959;437833
88;careless weed pollen extract;Acute pancreatitis;40161694;199074
88;Epoetin Alfa;Central corneal ulcer;1301125;380402
87;Bendroflumethiazide;Respiratory insufficiency;1316354;318459
86;Lisinopril;Impairment level: one eye: severe impairment: other eye: near-normal vision;1308216;374934
86;Benzoyl Peroxide;Intracranial injury;918172;437409
85;cefprozil;Plantar nerve lesion;1738366;138148
85;Zinc Gluconate;Left upper quadrant pain;19079204;194175
85;Chlorhexidine;Phobic disorder;1790812;4304010
84;Acetazolamide;Kyphoscoliotic heart disease;929435;317000
83;Levodopa;Vitamin A deficiency with night blindness;789578;378394
82;pneumococcal capsular polysaccharide type 10A vaccine;Type 2 diabetes mellitus;40163668;201826
81;Potassium Chloride;Atrophy of testis;19049105;438477
81;tazobactam;Acute upper respiratory infection;1741122;257011
80;Estradiol;Arthralgia of temporomandibular joint;1548195;73231
80;Alprazolam;Transient arthropathy of the ankle and/or foot;781039;79905
77;Isosorbide Dinitrate;Malignant tumor of middle third of esophagus;1383925;4092060
77;Clavulanate;Active cochleovestibular M+®ni+¿re's disease;1759842;439717
76;Vancomycin;Finding of neck region;1707687;4184252
74;Hydromorphone;Open fracture proximal femur, subtrochanteric;1126658;4015981
74;Atazanavir;Obesity;1727223;433736
74;green bell pepper allergenic extract;Seizure;40175868;377091
74;Doxazosin;Nerve injury;1363053;381732
73;Ticlopidine;Aqueous humor misdirect;1302398;440105
72;Fluorometholone;Regular astigmatism;955583;380706
71;yohimbine;Malignant hypertensive heart disease without congestive heart failure;1385800;314369
71;Permethrin;Arthropathy of knee joint;922868;4324765
71;Hydromorphone;Acute gastrojejunal ulcer with hemorrhage but without obstruction;1126658;438468
69;Cromolyn;Absence of breast;1152631;4088290
69;olmesartan;Leukemoid reaction;40226742;432283
69;Coal Tar;Migraine with aura;1000995;381549
67;yohimbine;Thrombosis of arteries of lower extremity;1385800;4236905
67;Alanine;Ischemic heart disease;19052489;4185932
66;Vitamin B6;Primary malignant neoplasm of kidney;1353228;198985
66;calcium lactate;Arteriosclerotic vascular disease;19058896;318443
66;prednisolone;Malignant lymphoma of spleen;1550557;200343
65;cotton allergenic extract;Nausea and vomiting;40175806;27674
64;tolcapone;Spinal stenosis of lumbar region;715727;136788
64;Sertraline;Disorder of prosthetic cardiac valve;739138;437461
63;Zinc Oxide;Mononeuropathy of lower limb;911064;43531028
63;Hydrocodone;Drug-induced psychosis;1174888;434900
60;BCG, Live, Tice Strain;Localized, primary osteoarthritis of the hand;19086176;75036
60;Esomeprazole;Closed supracondylar fracture of humerus;904453;433885
60;Epinephrine;Closed fracture of midcervical section of femur;1343916;436247
60;celecoxib;Mood finding;1118084;4021782
59;dexbrompheniramine;Carcinoma in situ of prostate;1188052;200970
59;rofecoxib;Muscle, ligament and fascia disorders;1189754;137967
59;Naproxen;Retained foreign body of middle ear;1115008;372921
58;short ragweed pollen extract;Primary malignant neoplasm of colon;40171301;197500
57;hydroquinone;Symbolic dysfunction;976778;432436
57;Siberian elm pollen extract;Schmorl's nodes;42801112;80496
55;Sodium Chloride;Open fracture of acromial process of scapula;967823;137997
54;Acetaminophen;Medullary sponge kidney;1125315;195072
54;Colestipol;Irradiation cystitis;1501617;201353
54;benazepril;Herpes zoster keratoconjunctivitis;1335471;376028
54;Hydrocodone;Open wound of nasal cavity without complication;1174888;433901
53;Risperidone;Large cell anaplastic lymphoma;735979;441235
52;Magnesium Hydroxide;Hepatic encephalopathy;992956;4029488
52;Sulfur;Carcinoid bronchial adenoma;1036525;4100540
52;Carboplatin;Malignant tumor of tail of pancreas;1344905;4095436
51;Meprobamate;Primary malignant neoplasm of rectosigmoid junction;702865;438699
51;Piperacillin;Localized, secondary osteoarthritis;1746114;80802
51;thyroid (USP);Developmental reading disorder;1501309;433759
50;Fosinopril;Acute myocarditis;1363749;312653
50;Terbutaline;Bile duct calculus with acute cholecystitis and obstruction;1236744;197924
49;Pravastatin;Acquired deformity of pelvis;1551860;192422
49;Magnesium Salicylate;Myasthenic crisis;1168079;4215003
49;trimethobenzamide;Contracture of palmar fascia;942799;136203
49;Cefadroxil;Dysphagia as a late effect of cerebrovascular accident;1769535;443465
48;Doxycycline;Thrombosis of superior vena cava;1738521;4084941
48;quinapril;Diaper rash;1331235;200164
47;Trihexyphenidyl;Anxiety disorder of childhood OR adolescence;705178;433178
47;Atovaquone;Vitamin B deficiency;1781733;437246
47;Bacitracin;Residual hemorrhoidal skin tags;915175;197006
46;Testosterone;Closed anterior dislocation of humerus;1636780;78267
46;Nalbuphine;Open wound of hand except fingers without complication;1114122;77421
46;Famotidine;Ankylosis of joint of ankle AND/OR foot;953076;80498
45;Benztropine;Central serous chorioretinopathy;719174;372894
45;Gramicidin;Bipolar I disorder;963742;432876
45;Theophylline;Infection of bone of hand;1237049;40481969
45;Trimethoprim;Bartter syndrome;1705674;45769152
44;Temazepam;Disseminated malignancy of unknown primary;836715;438701
43;troglitazone;Diffuse cervicobrachial syndrome;1515249;77639
42;Carisoprodol;Dissecting aneurysm of artery;749910;315288
42;Piperonyl Butoxide;Chronic rhinitis;946340;259848
41;queen palm pollen extract;Intervertebral disc disorder of thoracic region with myelopathy;40167733;139110
41;clopidogrel;Benign neoplasm of retina;1322184;372272
41;Misoprostol;Chronic osteomyelitis of ankle and/or foot;1150871;137077
41;Cromolyn;Non-tuberculous mycobacterial pneumonia;1152631;4174281
41;repaglinide;Acute conjunctivitis;1516766;376707
39;wheat pollen extract;Vaginitis and vulvovaginitis;40167666;194083
39;Loperamide;Chronic sphenoidal sinusitis;991876;134661
38;shagbark hickory pollen extract;Chronic interstitial cystitis;40162231;75863
38;paricalcitol;Anal spasm;1517740;134404
38;Tryptophan;Difficulty speaking;19006186;432730
38;burrobrush pollen extract;Primary malignant neoplasm of ovary;40161633;200051
37;Phenylpropanolamine;Pathological dislocation of shoulder region;1139993;78507
37;Nalbuphine;Acquired deformity of limb;1114122;133857
37;Ergotamine;Mixed bipolar I disorder in partial remission;1145379;437529
36;Iodoquinol;Hyperplasia of prostate;928006;197032
36;Acremonium strictum allergenic extract;Autoimmune hemolytic anemia;40173511;441269
36;Rotigotine;Enthesopathy of hip region;786426;198846
35;Ketoprofen;Open intertrochanteric fracture;1185922;440863
35;Cefazolin;Cystic fibrosis without meconium ileus;1771162;434615
35;Amiodarone;Leukemia;1309944;317510
35;Isosorbide;Disorder of branched-chain amino acid metabolism;1383815;439003
34;Acetaminophen;Uterine scar from previous surgery in pregnancy, childbirth and the puerperium;1125315;4060556
34;candesartan;Allergic contact dermatitis due to metal;1351557;46270315
34;calcium acetate;Palindromic rheumatism;951469;76196
33;Famotidine;Exotropia;953076;377294
33;Benzocaine;Hereditary retinal dystrophies in lipidoses;917006;4102654
33;Atropine;Closed fracture of cuneiform bone of foot;914335;437999
32;common sagebrush pollen extract;Thoracic spondylosis with myelopathy;40161598;79119
32;Fosinopril;Bilateral recurrent inguinal hernia with obstruction but no gangrene;1363749;194989
31;Baclofen;Sleep related bruxism;715233;433455
31;gray birch pollen extract;Postmenopausal state;40161730;4295261
31;Diltiazem;Nondependent hypnotic or anxiolytic abuse, continuous;1328165;4100524
31;entacapone;Functional disorder of intestine;782211;196151
31;Cefazolin;Derangement of posterior horn of lateral meniscus;1771162;433556
30;Theophylline;Psychogenic fugue;1237049;444079
30;wheat pollen extract;Pyelonephritis;40167666;198199
29;Spironolactone;Open wound of vagina without complication;970250;194519
29;phenol;Coma associated with diabetes mellitus;923540;443735
29;Mephobarbital;Paraplegia;702685;192606
29;Glucagon;Sprain of wrist;1560278;78272
29;western juniper pollen extract;Ulcer of lower extremity;40162066;197304
28;Kentucky bluegrass pollen extract;Ankle ulcer;40161228;4171556
28;Dextroamphetamine;Abrasion of wrist;719311;4106361
28;corn smut allergenic extract;Intervertebral disc disorder of thoracic region with myelopathy;19013721;139110
28;Tacrine;Urinary tract obstruction;836654;194406
28;Adenosine Triphosphate;Disorganized schizophrenia;19015230;441828
27;Trichlormethiazide;Portal pyemia;904639;192670
27;date allergenic extract;Presbyopia;40172246;373478
27;Fenofibrate;Malignant tumor of nasal cavity;1551803;4177107
27;Progesterone;Osteitis deformans without bone tumor;1552310;444219
27;Estazolam;Closed fracture of distal end of radius;748010;437116
27;Cholestyramine Resin;Anorexia nervosa;19095309;436675
27;Omeprazole;Primary malignant neoplasm of vallecula;923645;438360
27;modafinil;Contusion of knee;710650;78619
27;Leucovorin;Open fracture of base of neck of femur;1388796;432473
26;meningococcal group C polysaccharide;Asthma;509081;317009
26;Hydromorphone;Iatrogenic carnitine deficiency;1126658;432294
26;cyclobenzaprine;Episodic chronic alcoholism;778711;435532
26;Chloramphenicol;Traumatic spondylopathy;990069;81665
25;mycophenolate mofetil;Osteitis condensans;19003999;75920
25;Trichlormethiazide;Dermatitis due to drug AND/OR medicine taken internally;904639;134116
25;Amylases;Closed fracture of second cervical vertebra;919204;433329
25;Doxercalciferol;Retinal telangiectasia;1512446;441555
25;rituximab;Closed fracture proximal femur, subtrochanteric;1314273;4009610
24;dasatinib;Arthropathy;1358436;73553
24;mountain cedar pollen extract;Muscle, ligament and fascia disorders;40161989;137967
24;Propafenone;Acquired deformity of neck;1353256;31668
24;Calcium Carbonate;Injury of median nerve;19035704;433642
24;valacyclovir;Abrasion and/or friction burn of thigh without infection;1717704;442308
22;Urea;Anorectal fistula;906914;193807
22;Doxercalciferol;Acute hydrops keratoconus;1512446;374356
22;Epicoccum nigrum allergenic extract;Localized, secondary osteoarthritis of the ankle and/or foot;40162020;80183
22;Fluorometholone;Deformity of calcaneum;955583;79118
22;Rhizopus arrhizus allergenic extract;Impaction of intestine;19013225;197593
22;Dicyclomine;Nondependent opioid abuse, continuous;924724;434016
22;Ondansetron;Closed skull fracture with cerebral laceration AND/OR contusion;1000560;440850
21;Terazosin;Partial edentulism;1341238;40481091
21;Estazolam;Infantile, juvenile and presenile cataracts;748010;373770
21;Clomipramine;Neoplasm of uncertain behavior of endocrine gland;798834;140357
21;tizanidine;Secondary malignant neoplasm of lymph nodes of lower limb;778474;442182
21;Meperidine;Actinic reticuloid;1102527;439096
21;Chlorpromazine;Disorder of external ear;794852;381575
21;Sulfisoxazole;Electroencephalogram abnormal;1836503;4168553
21;tamsulosin;Retinal vascular occlusion;924566;440392
20;Khuskia oryzae allergenic extract;Paraplegia;40169661;192606
20;Metolazone;Hematometra;907013;195876
20;Estazolam;Disorder of pancreas;748010;192963
20;Ondansetron;Open fracture of vault of skull with subarachnoid, subdural AND/OR extradural hemorrhage;1000560;435938
20;Sulfacetamide;Cyst of Bartholin's gland duct;1036252;259865
19;butabarbital;Jaccoud's syndrome;959174;72994
19;Lorazepam;Localized vascularization of cornea;791967;372641
19;Salsalate;Complication;1137460;433128
19;anagrelide;Idiopathic progressive polyneuropathy;1381253;380394
19;Ivermectin;Arteriosclerosis of coronary artery bypass graft;1784444;443563
19;entacapone;Mixed bipolar affective disorder, in full remission;782211;439245
18;Fluorouracil;Primary malignant neoplasm of long bone of lower limb;955632;436640
18;Cromolyn;Corneal ulcer;1152631;373202
18;Codeine;Congenital anomaly of renal blood vessel;1201620;195060
18;white oak pollen extract;Panniculitis of neck;40162136;436787
18;Somatropin;Bipolar affective disorder, currently depressed, in full remission;1584910;439251
18;celecoxib;Central serous chorioretinopathy;1118084;372894
18;Lorazepam;Anomalies of great veins;791967;314147
18;cadexomer iodine;Coronary bypass graft finding;1740226;312922
18;Levalbuterol;Closed fracture finger proximal phalanx;1192218;443115
18;kidney bean allergenic extract;Pseudoexfoliation glaucoma;40170814;437273
17;Thyroglobulin;Myelophthisis;19000732;134315
17;Mirtazapine;Acute lacrimal canaliculitis;725131;436414
17;Hydroxychloroquine;Esophageal varices with bleeding, associated with another disorder;1777087;4112183
17;Thyroglobulin;Cerebral thrombosis;19000732;441874
17;Tobramycin;Lichen;902722;141094
17;Syrian hamster skin extract;Epiretinal membrane;40161482;379010
17;Escherichia coli;Carcinoma in situ of prostate;19030957;200970
17;Amantadine;Congenital hypoplasia of breast;19087090;76467
16;Immunoglobulin G;Hyperplasia of renal artery;19117912;200138
16;Guanfacine;Bilateral inguinal hernia;1344965;197023
16;Lactulose;Steroid-induced glaucoma - borderline;987245;435809
16;Clofibrate;Thrombophlebitis of deep veins of upper extremities;1598658;440750
16;house dust allergenic extract;Nervous system disorder due to diabetes mellitus;40161817;443730
16;mackerel allergenic extract;Acute infective exacerbation of chronic obstructive airways disease;40175863;4115044
16;Potassium Iodide;Subchronic paranoid schizophrenia;19049909;432299
16;Aztreonam;Paralytic ileus;1715117;192357
16;mustard pollen extract;Type 1 diabetes mellitus;40161997;201254
16;pectin;Tinea pedis;922191;133141
16;Magnesium Hydroxide;Central serous chorioretinopathy;992956;372894
15;methylnaltrexone;Trigonitis;909841;441615
15;tenofovir disoproxil;Septic shock;1710281;196236
15;Codeine;Congenital anomaly of ovary;1201620;198853
15;Glycopyrrolate;Acute duodenal ulcer with hemorrhage but without obstruction;963353;434402
15;linezolid;Diverticulitis of small intestine;1736887;193239
15;tomato allergenic extract;Goiter;40171297;135772
15;Cisapride;Neoplasm of uncertain behavior of skeletal system;932196;40479707
15;montelukast;Open fracture of talus;1154161;77131
14;moxifloxacin;Laryngeal diphtheria;1716903;438680
14;Ceftriaxone;Impairment level: better eye: moderate impairment: lesser eye: not further specified;1777806;378431
14;Insulin, Protamine Lispro, Human;Carcinoma in situ of skin of lip;1513876;133725
14;methyl 5-aminolevulinate;Rheumatoid lung disease;19025194;256197
14;Tolmetin;Rupture of papillary muscle;1102917;432937
14;Acarbose;Dental caries;1529331;133228
14;Tylosin;Arthralgia of the pelvic region and thigh;40222391;79106
14;insulin detemir;Recurrent manic episodes;1516976;437249
14;Trichoderma harzianum allergenic extract;Localized traumatic opacity;40175734;380722
13;tree of heaven pollen extract;Inflammatory disorder of breast;40162219;79072
13;Nadolol;Poisoning by wasp sting;1313200;442794
13;Cyclopentolate;After-cataract with vision obscured;910232;436118
13;canary grass pollen extract;Aseptic necrosis of bone;40161676;77650
13;Naltrexone;Colostomy present;1714319;4201390
13;Hydrochloric Acid;Diabetic oculopathy associated with type 1 diabetes mellitus;974140;373999
13;Isosorbide Dinitrate;Malignant tumor of trachea;1383925;4177112
13;bimatoprost;Eosinophilic colitis;904525;77923
13;Nicardipine;Sternoclavicular sprain;1318137;4014526
13;Vitamin E;Viral labyrinthitis;19009540;75555
13;Haloperidol;Acute gastrojejunal ulcer without hemorrhage AND without perforation but with obstruction;766529;432951
13;Eszopiclone;Chronic otitis externa;757352;377298
13;THONZONIUM;Seborrheic dermatitis;992153;137053
13;tetanus toxoid vaccine, inactivated;Finding relating to psychosocial functioning;529411;4107655
12;Lombard poplar pollen extract;Degeneration of macula due to cyst, hole or pseudohole;40161316;375538
12;Tamoxifen;Wrist stiff;1436678;4093673
12;Medroxyprogesterone;Motor neuron disease;1500211;374631
12;Chondroitin Sulfates;Typhoid carrier;1395573;4016356
12;pneumococcal capsular polysaccharide type 11A vaccine;Cataract;40163670;375545
12;Loperamide;Closed fracture of femoral condyle of femur;991876;436249
12;Methionine;Sensory disorder;19004724;4311114
11;Papaverine;Pneumonitis due to inhalation of food or vomitus;1326901;252663
11;Masoprocol;Disorder of soft tissue;988447;376208
11;cefpodoxime;Carcinoembryonic antigen present;1749008;439155
11;Clavulanate;Traumatic anuria;1759842;438658
11;butenafine;Depressed bipolar I disorder;958396;441836
11;CHYMOTRYPSIN;Acute-on-chronic respiratory failure;19096710;312940
11;Gonadorelin;Disorder of coccyx;19089810;78235
11;Fluorometholone;Obstruction of duodenum;955583;434085
11;Saquinavir;Hemorrhage of large intestine with diverticular disease of large intestine;1746244;194395
11;artichoke allergenic extract;Pulmonary alveolar proteinosis;40170396;435853
11;carbetapentane;Pneumonia in aspergillosis;1140640;261053
11;estropipate;Inactive M+®ni+¿re's disease;1525278;76130
11;Triazolam;Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue;704599;40482893
11;Salsalate;Rubeosis iridis;1137460;440098
11;zinc pyrithione;Cerebral embolism;944360;375557
10;Phoma glomerata allergenic extract;Simple goiter;40176157;141825
10;gatifloxacin;Arthropathy associated with a hematological disorder;1789276;79102
10;alfuzosin;Phacolytic glaucoma;930021;441556
10;Pilocarpine;Vaginal Papanicolaou smear positive for malignant neoplasm;945286;443712
10;Novobiocin;Benign prostatic hypertrophy without outflow obstruction;19022015;201072
10;Doxycycline;Vulval intraepithelial neoplasia grade 2;1738521;198810
10;salmeterol;Complication of internal device;1137529;435149
10;pantoprazole;Impairment level: one eye: moderate impairment: other eye: near-normal vision;948078;379021
10;yellow dock pollen extract;Active cochlear M+®ni+¿re's disease;40162170;439716
10;hydroxyurea;Cyst of thyroid;1377141;138113
10;sugar beet allergenic extract;West syndrome;40172566;376105
10;Sotalol;Ciliary muscle spasm;1370109;434344
10;brussels sprout allergenic extract;Disorder of tendon of shoulder region;40172000;79116
10;Methimazole;Retained magnetic foreign body in anterior chamber;1504620;381850
10;Nicotine;Disorder of hand;718583;77635
10;queen palm pollen extract;Convalescence after radiotherapy;40167733;4079499
10;Khuskia oryzae allergenic extract;Closed fracture of one rib;40169661;75941
10;Fluocinonide;Sleep-wake schedule disorder, advanced phase type;955252;440384
9;orris root allergenic extract;Dysfunction of eustachian tube;40238145;381877
9;Hydroflumethiazide;Incomplete uterovaginal prolapse;1376289;197332
9;salmon calcitonin;Nonpyogenic thrombosis of intracranial venous sinus;1537655;314667
9;Soybean Oil;Eye disorder due to diabetes mellitus;19070224;443767
9;cotton allergenic extract;Leukopenia;40175806;435224
9;Mitomycin;Postmenopausal state;1389036;4295261
9;buckwheat allergenic extract;Primary malignant neoplasm of rectosigmoid junction;40172004;438699
9;American cockroach allergenic extract;Secondary malignant neoplastic disease;40173533;432851
9;Methyclothiazide;Prolapse of uterine cervical stump;905273;443610
9;torsemide;Antihypertensive adverse reaction;942350;443367
9;Sulfamethoxazole;Vascular hamartomas;1836430;197087
9;sunitinib;Abnormal results of cardiovascular function studies;1336539;137989
9;Naphazoline;Malignant lymphoma of lymph nodes of axilla AND/OR upper limb;914533;441521
9;Tobramycin;Secondary malignant neoplasm of nervous system;902722;373425
9;rivastigmine;Toxic myocarditis;733523;317301
8;Hydroflumethiazide;Benign neoplasm of skin;1376289;138102
8;interferon alfacon-1;Cramp in limb;1781314;4311591
8;Pentazocine;Benign neoplasm of urinary system;1130585;78706
8;Ethinyl Estradiol;Steroid-induced glaucoma glaucomatous stage;1549786;433473
8;olanzapine;Impairment level: one eye: profound impairment: other eye: not specified;785788;380718
8;Procainamide;Abscess of eyelid;1351461;381308
8;Galantamine;Red blood cell sequestration in spleen;757627;196943
8;Sulindac;Bullous myringitis;1236607;375291
8;Cefuroxime;Cholesterin granuloma of middle ear and mastoid;1778162;40482461
8;European rabbit skin extract;Intracranial injury;40170979;437409
8;Clavulanate;Infectious secondary iridocyclitis;1759842;440716
8;Carboplatin;Open wound of ear drum without complication;1344905;376555
8;Budesonide;Chronic duodenal ulcer with hemorrhage AND with perforation but without obstruction;939259;438796
8;tag alder pollen extract;Polyp of nasal sinus;40162097;4138403
8;rofecoxib;Sprain of carpometacarpal joint;1189754;4014214
8;iron sucrose;Acute pyelonephritis with medullary necrosis;1395773;197035
8;Nimodipine;Calculus of bile duct with obstruction;1319133;444122
8;pepper tree pollen extract;Pyoderma;40161972;133547
8;dandelion pollen extract;Tenderness of right lower quadrant of abdomen;40161646;40490986
8;pneumococcal capsular polysaccharide type 15B vaccine;Chronic pain;40163676;436096
8;Metipranolol;Partial retinal artery occlusion;905531;437847
8;Lysine;Disorder of rectum;19092377;79069
8;palo verde pollen extract;Breathing painful;40161944;442555
8;Niacin;Herpes simplex otitis externa;1517824;380324
8;Povidone;Chronic fatigue syndrome;950056;432738
8;Gonadorelin;Pressure ulcer of ankle;19089810;44782446
8;Phenylalanine;Human papilloma virus infection;19035577;441788
8;Methadone;Mental disorders during pregnancy, childbirth and the puerperium;1103640;4060424
8;tinzaparin;Severe manic bipolar I disorder without psychotic features;1308473;443797
8;Hydromorphone;Injury at C5-C7 level with spinal cord injury AND without bone injury;1126658;435411
7;quackgrass pollen extract;Non-infectious disorder of lymphatics;40161857;435835
7;Naproxen;Congenital aphakia;1115008;381949
7;Vitamin E;Ariboflavinosis;19009540;432580
7;pineapple allergenic extract;Streptococcal infectious disease;40172644;437779
7;Ascorbic Acid;Abrasion and/or friction burn of multiple sites;19011773;443585
7;MAGNESIUM GLUCONATE;Residual schizophrenia;19067971;439004
7;Phenytoin;Closed fracture of proximal end of ulna;740910;436251
7;salt grass pollen extract;Neoplasm of uncertain behavior of larynx;40162204;22274
7;Polyvinyl Alcohol;Low blood pressure;948856;317002
7;sulconazole;Urticaria;940535;139900
7;balsalazide;Posttraumatic headache;934262;376104
7;Lactulose;Fragments of torsion dystonia;987245;373462
7;Phenolphthalein;Traumatic dislocation of joint of hand;924309;74733
7;southern yellow jacket venom protein;Chronic rhinitis;42801285;259848
7;green ash pollen extract;Ptosis of eyelid;40161734;374044
7;hepatitis B immune globulin;Cystoid macular retinal degeneration;501343;376115
7;tobacco leaf allergenic extract;Noninflammatory disorder of the vagina;40162187;195867
