N,drug_name,event_name,drug_id,event_id,comment
-1,Cyclopentolate: Cyclopentolate,Ocular hyperaemia: Hyperemia of eye (finding)|Red eye (disorder)|Bilateral red eyes (disorder),910232,781682005|75705005|12241791000119109,
-1,Ivabradine: ivabradine,Contraindicated product administered: Administration of drug or medicament contraindicated (situation),46234437,438833006,
-1,Cyclopentolate: Cyclopentolate,Eye irritation: Burning sensation in eye (finding)|Sensation of irritation of eye proper (finding),910232,2070002|705083008,
-1,Terbinafine: terbinafine,Tinea infection: Dermatophytosis (disorder),1741309,47382004,
-1,Zolpidem: zolpidem,Psychomotor retardation: Motor retardation (finding),744740,398991009,
-1,Desogestrel: Desogestrel,Breast tenderness: Breast tenderness (finding),1588000,55222007,
-1,Perampanel: perampanel,Epilepsy: Epilepsy (disorder)|Refractory epilepsy (disorder)|Symptomatic generalized epilepsy (disorder)|Epileptic seizure (finding),42904177,84757009|445355009|71831005|313307000,
-1,Eslicarbazepine: eslicarbazepine,Epilepsy: Epilepsy (disorder)|Refractory epilepsy (disorder)|Symptomatic generalized epilepsy (disorder)|Epileptic seizure (finding),44507780,84757009|445355009|71831005|313307000,
-1,Capsaicin: Capsaicin,Application site pruritus: Application site itching (disorder),939881,863889003,
-1,Bicalutamide: bicalutamide,Breast tenderness: Breast tenderness (finding),1344381,55222007,
-1,Cyclopentolate: Cyclopentolate,Speech disorder: Difficulty talking (finding)|Disturbance in speech (finding),910232,286378009|29164008,
-1,Benzydamine: Benzydamine,Pharyngeal oedema: Edema of pharynx (disorder),19019620,2129002,
-1,Chlorambucil: Chlorambucil,Respiratory tract infection: Respiratory tract infection (disorder),1390051,275498002,
-1,Cyclopentolate: Cyclopentolate,"Hallucination, visual: Visual hallucinations (finding)",910232,64269007,
-1,Lercanidipine: lercanidipine,Nocturia: Nocturia (finding),19015802,139394000,
-1,Miglustat: Miglustat,Dysphagia: Dysphagia (disorder)|Functional dysphagia (disorder)|Unable to swallow (finding)|Swallowing problem (finding),19045272,40739000|722875003|249486008|399122003,
-1,Desogestrel: Desogestrel,Menometrorrhagia: Menometrorrhagia (finding),1588000,314631008,
-1,Isoxsuprine: Isoxsuprine,Tachycardia: Tachycardia (finding),1384360,3424008,
-1,Agomelatine: Agomelatine,Impaired driving ability: Difficulty driving a car (finding),36878783,300638003,
-1,Trihexyphenidyl: Trihexyphenidyl,Salivary hypersecretion: Excessive salivation (disorder),705178,53827007,
-1,Olanzapine: olanzapine,Psychomotor retardation: Motor retardation (finding),785788,398991009,
-1,Melatonin: Melatonin|MELATONIN RAPID RELEASE GELCAPS 10 MG - melatonin rapid release gelcaps tablet,Restlessness: Restlessness (finding),1301152|1301152,162221009,
-1,Brinzolamide: brinzolamide,Eye swelling: Swelling of structure of eye (finding),938044,45177002,
-1,Permethrin: Permethrin,Skin burning sensation: Burning sensation of skin (finding),922868,762397008,
-1,Benzydamine: Benzydamine,Swollen tongue: Tongue swelling (finding),19019620,421262002,
-1,Lacosamide: lacosamide,Nystagmus: Nystagmus (disorder),19087394,563001,
-1,Clotrimazole: Clotrimazole,Skin irritation: Skin irritation (finding),1000632,367466007,
-1,Benzoyl peroxide: Benzoyl Peroxide,Dermatitis allergic: Atopic dermatitis (disorder)|Cutaneous hypersensitivity (disorder),918172,24079001|21626009,
-1,Isoxsuprine: Isoxsuprine,Palpitations: Pounding heart (finding)|Palpitations (finding)|Pulse fast (finding),1384360,248657009|80313002|86651002,
-1,Levobupivacaine: Levobupivacaine,Bradycardia: Bradycardia (finding),19098741,48867003,
-1,Mirtazapine: Mirtazapine,Hyperreflexia: Hyperreflexia (finding),725131,86854008,
-1,Perampanel: perampanel,Dysarthria: Unable to articulate clearly (finding)|Slurred speech (finding)|Dysarthria (finding),42904177,286295003|289195008|8011004,
-1,Estriol: Estriol,Abdominal pain lower: Lower abdominal pain (finding),19049038,54586004,
-1,Isoxsuprine: Isoxsuprine,Hypotension: Low blood pressure (disorder),1384360,45007003,
-1,Amikacin: Amikacin,Anuria: Anuria (finding),1790868,2472002,
-1,Chlorprothixene: Chlorprothixene,Dyskinesia: Spasmodic movement (finding)|Dyskinesia (finding)|Involuntary movement (finding)|Abnormal involuntary movement (disorder)|Uneven movement (finding)|Abnormal movement (finding),19095002,249966004|9748009|267078001|260912008|249962002|225606002,
-1,Etoricoxib: etoricoxib,Oral mucosal blistering: Traumatic blister of mouth (disorder),19011355,283121001,
-1,Perampanel: perampanel,Personality change: Personality change (finding),42904177,102943000,
-1,Zinc: Zinc,Dermatitis contact: Contact dermatitis (disorder)|Contact dermatitis caused by adhesive plaster (disorder)|Allergic reaction caused by adhesive (disorder),19010696,40275004|77560002|418325008,
-1,Perampanel: perampanel,Diplopia: Diplopia (disorder),42904177,24982008,
-1,Chloroquine: Chloroquine,Skin hyperpigmentation: Hyperpigmentation of skin (disorder),1792515,49765009,
-1,Agomelatine: Agomelatine,Restless legs syndrome: Restless legs (disorder),36878783,32914008,
-1,Melatonin: Melatonin|MELATONIN RAPID RELEASE GELCAPS 10 MG - melatonin rapid release gelcaps tablet,Nocturia: Nocturia (finding),1301152|1301152,139394000,
-1,Acetazolamide: Acetazolamide,Anuria: Anuria (finding),929435,2472002,
-1,Agomelatine: Agomelatine,Middle insomnia: Middle insomnia (disorder),36878783,67233009,
-1,Dalteparin: Dalteparin,Ecchymosis: Ecchymosis (finding),1301065,302227002,
-1,Imiquimod: imiquimod,Wound: Open wound (disorder)|Wound (disorder),981691,125643001|416462003,
-1,Clobetasone: Clobetasone,Erythema: Erythema of skin (finding)|Face goes red (finding)|Erythema (finding),19005129,444827008|271811009|247441003,
-1,Ivabradine: ivabradine,Photophobia: Photophobia (finding)|Eyes sensitive to light (finding),46234437,409668002|246622003,
-1,Articaine: Articaine,Face oedema: Edema of face (finding),19080512,445088006,
-1,Perampanel: perampanel,Depressed mood: Depressed mood (finding)|Feeling unhappy (finding),42904177,366979004|420038007,
-1,Cabergoline: cabergoline,Breast pain: Pain of breast (finding),1558471,53430007,
-1,Aripiprazole: aripiprazole,"Disinhibition: Disinhibition, function (observable entity)",757688,40662008,
-1,Quetiapine: quetiapine,Psychomotor retardation: Motor retardation (finding),766814,398991009,
-1,Memantine: Memantine,"Hallucination, auditory: Auditory hallucinations (finding)",701322,45150006,
-1,Sulfur hexafluoride: Sulfur Hexafluoride,Loss of consciousness: Loss of consciousness (finding)|Syncope (disorder)|Unconscious (finding),45892833,419045004|271594007|418107008,
-1,Sulfur hexafluoride: Sulfur Hexafluoride,Cyanosis: Cyanosis (finding)|Peripheral cyanosis (finding)|Blue lips (finding),45892833,3415004|95442007|162743000,
-1,Amisulpride: Amisulpride,Hyperthermia: Body temperature above reference range (finding),19057607,50177009,
-1,Nebivolol: nebivolol,Peripheral coldness: Cold extremity (finding),1314577,771542000,
-1,Atosiban: Atosiban,Hypotension: Low blood pressure (disorder),19122136,45007003,
-1,Risperidone: Risperidone,Psychomotor retardation: Motor retardation (finding),735979,398991009,
-1,Benzydamine: Benzydamine,Lip swelling: Lip swelling (finding),19019620,699376002,
-1,Meropenem: meropenem,Status epilepticus: Status epilepticus (disorder),1709170,230456007,
-1,Brimonidine: brimonidine,Scab: Crust (morphologic abnormality)|Scab of skin (disorder),915542,69640009|409589004,
-1,Oxaliplatin: oxaliplatin,Administration site extravasation: Injection site extravasation (disorder),1318011,95384003,
-1,Dexamethasone: Dexamethasone,Acute psychosis: Psychotic disorder (disorder),1518254,69322001,
-1,Citalopram: Citalopram,Negative thoughts: Negative automatic thoughts (finding),797617,247653006,
-1,Clotrimazole: Clotrimazole,Application site pruritus: Application site itching (disorder),1000632,863889003,
-1,Galantamine: Galantamine,Epilepsy: Epilepsy (disorder)|Refractory epilepsy (disorder)|Symptomatic generalized epilepsy (disorder)|Epileptic seizure (finding),757627,84757009|445355009|71831005|313307000,
-1,Midodrine: Midodrine,Bradycardia: Bradycardia (finding),1308368,48867003,
-1,Everolimus: everolimus,Rales: Respiratory crackles (finding),19011440,48409008,
-1,Deferiprone: deferiprone,Arthropathy: Arthropathy of knee joint (disorder)|Arthropathy (disorder),19011091,428724006|399269003,
-1,Desloratadine: desloratadine,Psychomotor hyperactivity: Hyperactive behavior (finding)|Psychomotor agitation (finding),1103006,44548000|47295007,
-1,Cladribine: Cladribine,Herpes zoster: Herpes zoster (disorder),19054825,4740000,
-1,Riluzole: Riluzole,Dysphagia: Dysphagia (disorder)|Functional dysphagia (disorder)|Unable to swallow (finding)|Swallowing problem (finding),735951,40739000|722875003|249486008|399122003,
-1,Zofenopril: zofenopril,Angioedema: Angioedema of lip (disorder)|Angioedema (disorder)|Allergic angioedema (disorder)|Giant urticaria (disorder)|Angioedema of eyelid (disorder)|Respiratory angioedema (disorder)|Angioneurotic edema of larynx (disorder),19102107,846579005|41291007|402387002|400075008|846577007|844575001|232437009,
-1,Ephedrine: Ephedrine,Bradycardia: Bradycardia (finding),1143374,48867003,
-1,Atropine: Atropine,Photophobia: Photophobia (finding)|Eyes sensitive to light (finding),914335,409668002|246622003,
-1,Bisacodyl: Bisacodyl,Presyncope: Vasovagal syncope (disorder)|Near syncope (disorder),924939,398665005|427461000,
-1,Ivabradine: ivabradine,Diplopia: Diplopia (disorder),46234437,24982008,
-1,Danazol: Danazol,Amenorrhoea: Amenorrhea (finding),1511449,14302001,
-1,Escitalopram: Escitalopram,Psychomotor retardation: Motor retardation (finding),715939,398991009,
-1,Cycloserine: Cycloserine,Deafness: Low frequency deafness (disorder)|Complete deafness (disorder)|Deafness symptom (disorder)|High frequency deafness (disorder)|Toxic deafness (disorder)|Hearing loss (disorder),1710446,42538001|8531006|272033007|232326009|37635004|15188001,
-1,Lormetazepam: lormetazepam,Nightmare: Nightmares (finding)|Unpleasant dream (finding),19007977,419145002|419748005,
-1,Tamsulosin: tamsulosin,Enuresis: Nocturnal enuresis (finding)|Urinary incontinence of non-organic origin (finding),924566,8009008|42112009,
-1,Zonisamide: zonisamide,Cognitive disorder: Cognitive disorder (disorder)|Impaired cognition (finding),744798,443265004|386806002,
-1,Fluconazole: Fluconazole,Oral mucosal blistering: Traumatic blister of mouth (disorder),1754994,283121001,
-1,Levofloxacin: Levofloxacin,Walking disability: Walking disability (finding),1742253,228158008,
-1,Cyclopentolate: Cyclopentolate,Agitation: Feeling agitated (finding)|Excitement (finding),910232,24199005|58901008,
-1,Dalteparin: Dalteparin,Injection site haematoma: Injection site bruising (disorder),1301065,95401009,
-1,Miglustat: Miglustat,Pneumonia: Infectious disease of lung (disorder)|Recurrent pneumonia (disorder)|Bilateral pneumonia (disorder)|Lobar pneumonia (disorder)|Nosocomial pneumonia (disorder)|Pneumonia (disorder)|Community acquired pneumonia (disorder)|Bronchopneumonia (disorder),19045272,128601007|699014000|407671000|278516003|425464007|233604007|385093006|396285007,
-1,Brinzolamide: brinzolamide,Arrhythmia: Cardiac arrhythmia (disorder),938044,698247007,
-1,Ivabradine: ivabradine,Heart rate irregular: Irregular heart beat (finding),46234437,361137007,
-1,Cycloserine: Cycloserine,Delirium: Delirious (finding)|Delirium (disorder),1710446,419567006|2776000,
-1,Rufinamide: rufinamide,Somnolence: Drowsy (finding)|Not easily wakened from sleep (finding)|Daytime somnolence (finding)|Feeling intoxicated (finding),19006586,271782001|733504007|141000119100|102897001,
-1,Everolimus: everolimus,Paronychia: Paronychia (disorder),19011440,71906005,
-1,Clotrimazole: Clotrimazole,Abdominal pain lower: Lower abdominal pain (finding),1000632,54586004,
-1,Pyridostigmine: Pyridostigmine,Bradycardia: Bradycardia (finding),759740,48867003,
-1,Nabumetone: nabumetone,Generalised oedema: Anasarca (finding),1113648,442433009,
-1,Amphotericin b: Amphotericin B,Oliguria: Oliguria (finding),1717240,83128009,
-1,Ivabradine: ivabradine,Loss of personal independence in daily activities: Disability affecting daily living (finding),46234437,413298002,
-1,Azathioprine: Azathioprine,Melanocytic naevus: Melanocytic nevus (disorder),19014878,400096001,
-1,Irinotecan: irinotecan,Folliculitis: Folliculitis (disorder),1367268,13600006,
-1,Citalopram: Citalopram,Tearfulness: Crying associated with mood (finding),797617,271951008,
-1,Everolimus: everolimus,Type I hypersensitivity: Type 1 hypersensitivity response (disorder),19011440,12263007,
-1,Clomipramine: Clomipramine,Parkinsonism: Parkinsonism caused by drug (disorder)|Parkinson's disease (disorder)|Parkinsonism (disorder),798834,4223005|49049000|32798002,
-1,Potassium: Potassium,Skin necrosis: Skin necrosis (disorder),19049024,95347000,
-1,Fluphenazine: Fluphenazine,Amenorrhoea: Amenorrhea (finding),756018,14302001,
-1,Amorolfine: Amorolfine,Erythema: Erythema of skin (finding)|Face goes red (finding)|Erythema (finding),19032619,444827008|271811009|247441003,
-1,Ivabradine: ivabradine,Visual field defect: Visual field defect (finding)|Visual field scotoma (finding),46234437,12184005|23388006,
-1,Memantine: Memantine,Apathy: Loss of motivation (finding)|Indifference (finding),701322,277521002|20602000,
-1,Pregabalin: pregabalin,"Disinhibition: Disinhibition, function (observable entity)",734354,40662008,
-1,Lymecycline: Lymecycline,Visual impairment: Seeing spots in front of eyes (finding)|Visual disturbance (disorder)|Sight deteriorating (finding)|Abnormal vision (finding)|Visual impairment (disorder),19092353,418008001|63102001|225581002|7973008|397540003,
-1,Escitalopram: Escitalopram,Tension: Tension (finding),715939,53489000,
-1,Chloramphenicol: Chloramphenicol,Photophobia: Photophobia (finding)|Eyes sensitive to light (finding),990069,409668002|246622003,
-1,Fludrocortisone: Fludrocortisone,Oedema: Edema (finding)|Pitting edema (finding),1555120,267038008|284521000,
-1,Baclofen: Baclofen,Enuresis: Nocturnal enuresis (finding)|Urinary incontinence of non-organic origin (finding),715233,8009008|42112009,
-1,Everolimus: everolimus,Odynophagia: Swallowing painful (finding),19011440,30233002,
-1,Pemetrexed: pemetrexed,Oral candidiasis: Candidiasis of mouth (disorder),1304919,79740000,
-1,Sodium fluoride: Sodium Fluoride,Swelling face: Facial swelling (finding),19069022,278528006,
-1,Levofloxacin: Levofloxacin,Acute psychosis: Psychotic disorder (disorder),1742253,69322001,
-1,Cyclopentolate: Cyclopentolate,Visual impairment: Seeing spots in front of eyes (finding)|Visual disturbance (disorder)|Sight deteriorating (finding)|Abnormal vision (finding)|Visual impairment (disorder),910232,418008001|63102001|225581002|7973008|397540003,
-1,Teriflunomide: teriflunomide,Dysaesthesia: Dysesthesia (finding),42900584,279079003,
-1,Bcg vaccine: BCG Vaccine,Vaccination site erythema: Injection site erythema (disorder),19015423,213338000,
-1,Lercanidipine: lercanidipine,Erectile dysfunction: Erectile dysfunction (disorder),19015802,860914002,
-1,Nystatin: Nystatin,Lip swelling: Lip swelling (finding),922570,699376002,
-1,Nicergoline: Nicergoline,Vertigo: Vertigo (finding)|Peripheral vertigo (disorder),19018352,399153001|50438001,
-1,Agomelatine: Agomelatine,Depressed mood: Depressed mood (finding)|Feeling unhappy (finding),36878783,366979004|420038007,
-1,Promethazine: Promethazine,Psychomotor hyperactivity: Hyperactive behavior (finding)|Psychomotor agitation (finding),1153013,44548000|47295007,
-1,Anagrelide: anagrelide,Arrhythmia: Cardiac arrhythmia (disorder),1381253,698247007,
-1,Cyclopentolate: Cyclopentolate,Eyelid oedema: Edema of eyelid (disorder),910232,89091004,
-1,Melatonin: Melatonin|MELATONIN RAPID RELEASE GELCAPS 10 MG - melatonin rapid release gelcaps tablet,Hallucination: Hallucinations (finding),1301152|1301152,7011001,
-1,Bendamustine: bendamustine,Respiratory tract infection: Respiratory tract infection (disorder),19015523,275498002,
-1,Ticagrelor: Ticagrelor,Mouth haemorrhage: Bleeding from mouth (finding),40241186,22490002,
-1,Chloroquine: Chloroquine,Diplopia: Diplopia (disorder),1792515,24982008,
-1,Ciprofloxacin: Ciprofloxacin,Acute psychosis: Psychotic disorder (disorder),1797513,69322001,
-1,Imiquimod: imiquimod,Eczema: Chronic eczema (disorder)|Exacerbation of eczema (disorder)|Eczema (disorder),981691,44256003|135843006|43116000,
-1,Ivermectin: Ivermectin,Eye irritation: Burning sensation in eye (finding)|Sensation of irritation of eye proper (finding),1784444,2070002|705083008,
-1,Desloratadine: desloratadine,Increased appetite: Increased appetite (finding),1103006,72405004,
-1,Ambroxol: Ambroxol,Lip oedema: Lip swelling (finding),19088167,699376002,
-1,Agomelatine: Agomelatine,Chromaturia: Discolored urine (finding),36878783,102867009,
-1,Agomelatine: Agomelatine,Disturbance in attention: Disturbance of attention (finding)|Unable to concentrate (finding),36878783,76039005|60032008,
-1,Rufinamide: rufinamide,Decreased appetite: Decrease in appetite (finding)|Loss of appetite (finding),19006586,64379006|79890006,
-1,Tretinoin: Tretinoin,Mucosal inflammation: Inflammatory disease of mucous membrane (disorder),903643,95361005,
-1,Trihexyphenidyl: Trihexyphenidyl,Dysarthria: Unable to articulate clearly (finding)|Slurred speech (finding)|Dysarthria (finding),705178,286295003|289195008|8011004,
-1,Lithium: Lithium,Hyperthermia: Body temperature above reference range (finding),19124477,50177009,
-1,Cholera vaccine: Cholera Vaccine,Influenza like illness: Influenza-like illness (finding)|Influenza-like symptoms (finding),595252,95891005|315642008,
-1,Ivermectin: Ivermectin,Application site pain: Application site pain (finding),1784444,95367009,
-1,Tizanidine: tizanidine,Hypotonia: Flaccidity of muscle (finding)|Poor muscle tone (finding),778474,186611004|398152000,
-1,Mirtazapine: Mirtazapine,Hunger: Hungry (finding),725131,55350005,
-1,Chloramphenicol: Chloramphenicol,Lacrimation increased: Watery eye (finding),990069,420103007,
-1,Sertaconazole: sertaconazole,Pruritus: Itching (finding)|Scalp itchy (finding)|Generalized pruritus (finding)|Itching of skin (finding),939134,418290006|275921007|276444007|418363000,
-1,Rocuronium: Rocuronium,Laryngeal oedema: Edema of larynx (disorder)|Edema of glottis (disorder),19003953,51599000|111278002,
-1,Amisulpride: Amisulpride,Urinary incontinence: Urinary incontinence (finding),19057607,165232002,
-1,Etoricoxib: etoricoxib,Oliguria: Oliguria (finding),19011355,83128009,
-1,Azacitidine: Azacitidine,Appendicitis: Appendicitis (disorder)|Acute appendicitis (disorder),1314865,74400008|85189001,
-1,Everolimus: everolimus,Necrosis: Necrosis (morphologic abnormality),19011440,6574001,
-1,Mirtazapine: Mirtazapine,Initial insomnia: Initial insomnia (disorder),725131,59050008,
-1,Rivastigmine: rivastigmine,Muscle rigidity: Muscle rigidity (finding),733523,16046003,
-1,Propofol: Propofol,Trismus: Trismus (finding)|Temporomandibular joint locking (finding),753626,87866006|298373009,
-1,Clotrimazole: Clotrimazole,Dysuria: Dysuria (finding)|Difficulty passing urine (finding),1000632,49650001|102835006,
-1,Articaine: Articaine,Hypersensitivity: Allergic reaction (disorder)|Allergic disposition (finding)|Environmental allergy (finding)|Hypersensitivity condition (finding)|Acute allergic reaction (disorder)|Hypersensitivity reaction (disorder),19080512,419076005|609328004|426232007|473010000|241929008|421961002,
-1,Azacitidine: Azacitidine,Gingival bleeding: Bleeding gums (finding),1314865,86276007,
-1,Everolimus: everolimus,Spinal pain: Pain in spine (finding),19011440,48926009,
-1,Ivabradine: ivabradine,Blood pressure decreased: Finding of decreased blood pressure (finding),46234437,12763006,
-1,Lorazepam: Lorazepam,Sluggishness: Bradykinesia (finding),791967,399317006,
-1,Flecainide: Flecainide,Presyncope: Vasovagal syncope (disorder)|Near syncope (disorder),1354860,398665005|427461000,
-1,Mirtazapine: Mirtazapine,Hyperthermia: Body temperature above reference range (finding),725131,50177009,
-1,Perampanel: perampanel,Aphasia: Word finding difficulty (disorder)|Dysphasia (finding)|Aphasia (finding),42904177,229738006|20301004|87486003,
-1,Cholera vaccine: Cholera Vaccine,Oropharyngeal pain: Pain in throat (finding),595252,162397003,
-1,Articaine: Articaine,Tremor: Tremor (finding)|Trembles (finding),19080512,26079004|267079009,
-1,Perampanel: perampanel,Disturbance in attention: Disturbance of attention (finding)|Unable to concentrate (finding),42904177,76039005|60032008,
-1,Thiamphenicol: Thiamphenicol,Urticaria: Urticaria (disorder)|Allergic urticaria (disorder)|Wheal (finding)|Acute urticaria (disorder),19137362,126485001|40178009|247472004|402408009,
-1,Bcg vaccine: BCG Vaccine,Nodule: Nodule (morphologic abnormality),19015423,27925004,
-1,Anagrelide: anagrelide,Epistaxis: Bleeding from nose (finding),1381253,249366005,
-1,Azacitidine: Azacitidine,Petechiae: Petechiae (finding)|Petechiae of skin (disorder),1314865,271813007|423716004,
-1,Methylprednisolone: Methylprednisolone,Folliculitis: Folliculitis (disorder),1506270,13600006,
-1,Risperidone: Risperidone,Alcohol abuse: Persistent alcohol abuse (disorder)|Nondependent alcohol abuse (disorder)|Alcohol abuse (disorder),735979,284591009|268645007|15167005,
-1,Estriol: Estriol,Migraine: Transformed migraine (disorder)|Migraine (disorder),19049038,427419006|37796009,
-1,Piracetam: Piracetam,Vertigo: Vertigo (finding)|Peripheral vertigo (disorder),19046654,399153001|50438001,
-1,Fluconazole: Fluconazole,Skin hyperpigmentation: Hyperpigmentation of skin (disorder),1754994,49765009,
-1,Flurbiprofen: Flurbiprofen,Pharyngeal oedema: Edema of pharynx (disorder),1156378,2129002,
-1,Amphotericin b: Amphotericin B,Hyperthermia: Body temperature above reference range (finding),1717240,50177009,
-1,Azathioprine: Azathioprine,Oral candidiasis: Candidiasis of mouth (disorder),19014878,79740000,
-1,Everolimus: everolimus,Oral fungal infection: Oral mucosal fungal disease (disorder),19011440,235068006,
-1,Everolimus: everolimus,Furuncle: Furuncle (disorder),19011440,416675009,
-1,Risperidone: Risperidone,Acute psychosis: Psychotic disorder (disorder),735979,69322001,
-1,Indacaterol: indacaterol,Dysphonia: Change in voice (finding)|Hoarse (finding)|Dysphonia (disorder),40240664,274657005|50219008|16617009,
-1,Ribavirin: Ribavirin,Sudden hearing loss: Sudden hearing loss (disorder),1762711,79471008,
-1,Pramipexole: Pramipexole,Hiccups: Hiccoughs (finding),720810,65958008,
-1,Ciprofloxacin: Ciprofloxacin,Walking disability: Walking disability (finding),1797513,228158008,
-1,Melatonin: Melatonin|MELATONIN RAPID RELEASE GELCAPS 10 MG - melatonin rapid release gelcaps tablet,Irritability: Feeling irritable (finding),1301152|1301152,55929007,
-1,Indacaterol: indacaterol,Bronchitis: Infectious disorder of bronchus (disorder)|Bronchitis (disorder)|Acute bronchitis (disorder)|Acute exacerbation of chronic bronchitis (disorder),40240664,233795005|32398004|10509002|425748003,
-1,Ivermectin: Ivermectin,Burning sensation: Burning sensation (finding)|Burning feet (finding),1784444,90673000|36031001,
-1,Mirtazapine: Mirtazapine,Dysaesthesia: Dysesthesia (finding),725131,279079003,
-1,Everolimus: everolimus,Tongue discomfort: Glossopyrosis (disorder),19011440,399044006,
-1,Capecitabine: capecitabine,Onychomycosis: Onychomycosis (disorder),1337620,414941008,
-1,Metronidazole: Metronidazole,Oral fungal infection: Oral mucosal fungal disease (disorder),1707164,235068006,
-1,Povidone-iodine: Povidone-Iodine,Eyelid oedema: Edema of eyelid (disorder),1750087,89091004,
-1,Bcg vaccine: BCG Vaccine,Vaccination site swelling: Vaccination site swelling (disorder),19015423,863910007,
-1,Azacitidine: Azacitidine,Respiratory tract infection: Respiratory tract infection (disorder),1314865,275498002,
-1,Diclofenac: Diclofenac,Skin erosion: Superficial ulcer of skin (disorder),1124300,93448009,
-1,Rufinamide: rufinamide,Weight decreased: Weight decreased (finding)|Weight loss (finding),19006586,262285001|89362005,
-1,Clarithromycin: Clarithromycin,Tongue discomfort: Glossopyrosis (disorder),1750500,399044006,
-1,Cyproheptadine: Cyproheptadine,Vertigo: Vertigo (finding)|Peripheral vertigo (disorder),1110727,399153001|50438001,
-1,Escitalopram: Escitalopram,Initial insomnia: Initial insomnia (disorder),715939,59050008,
-1,Ketoconazole: Ketoconazole,Application site pruritus: Application site itching (disorder),985708,863889003,
-1,Isotretinoin: Isotretinoin,Acute psychosis: Psychotic disorder (disorder),984232,69322001,
-1,Iron: Iron,Papule: Papule of skin (finding),1360067,445328000,
-1,Clotrimazole: Clotrimazole,Skin burning sensation: Burning sensation of skin (finding),1000632,762397008,
-1,Desloratadine: desloratadine,Restlessness: Restlessness (finding),1103006,162221009,
-1,Sulfur hexafluoride: Sulfur Hexafluoride,Paraesthesia: Electric shock type pain (finding)|Pins and needles (finding)|Paresthesia of hand (finding)|Paresthesia (finding),45892833,723316007|62507009|309086004|91019004,
-1,Capecitabine: capecitabine,Hyperkeratosis: Hyperkeratosis (morphologic abnormality)|Keratosis (disorder),1337620,26996000|254666005,
-1,Allopurinol: Allopurinol,Oral mucosal blistering: Traumatic blister of mouth (disorder),1167322,283121001,
-1,Acetylcysteine: Acetylcysteine,Dermatitis allergic: Atopic dermatitis (disorder)|Cutaneous hypersensitivity (disorder),1139042,24079001|21626009,
-1,Neostigmine: Neostigmine,Hyperhidrosis: Sweating (finding)|Sweating attack (finding)|Hyperhidrosis (disorder)|Excessive sweating (finding),717136,415690000|300938001|312230002|52613005,
-1,Brinzolamide: brinzolamide,Epistaxis: Bleeding from nose (finding),938044,249366005,
-1,Clindamycin: Clindamycin,Oesophageal disorder: Disorder of esophagus (disorder),997881,37657006,
-1,Dexchlorpheniramine: dexchlorpheniramine,Face oedema: Edema of face (finding),1188114,445088006,
-1,Dapsone: Dapsone,Rash papular: Papular eruption (disorder),1711759,271757001,
-1,Levothyroxine: levothyroxine,Overweight: Overweight (finding),1501700,238131007,
-1,Glatiramer: Glatiramer,Mouth swelling: Edema of oral soft tissues (disorder),751889,9067002,
-1,Teriflunomide: teriflunomide,Dental caries: Dental caries (disorder),42900584,80967001,
