"DEC","cohortId_1a","cohortId_1b","cohortId_1c","cohortId_2a","cohortId_2b","cohortId_2c","cohortId_3","cohortId_4a","cohortId_4b","cohortId_4c","cohortId_5a","cohortId_5b","cohortId_5c"
"103 Imatinib + Platelet disorder",76,238,400,562,724,886,982,1159,1508,1857,2206,2555,2904
"104 Temozolomide + Thrombocytopenia",150,312,474,636,798,960,982,1314,1663,2012,2361,2710,3059
"105 Letrozole + Pericardial effusion",83,245,407,569,731,893,983,1173,1522,1871,2220,2569,2918
"106 Amiodarone + Haemorrhage intracranial",5,167,329,491,653,815,981,997,1346,1695,2044,2393,2742
"107 Mitomycin + Thrombocytopenia",103,265,427,589,751,913,982,1209,1558,1907,2256,2605,2954
"108 Clindamycin + Anaphylactic shock",35,197,359,521,683,845,974,1044,1393,1742,2091,2440,2789
"109 Mycophenolic acid + Encephalitis",106,268,430,592,754,916,979,1216,1565,1914,2263,2612,2961
"110 Mycophenolic acid + Endocarditis",106,268,430,592,754,916,983,1218,1567,1916,2265,2614,2963
"111 Lithium + Sleep disorder",88,250,412,574,736,898,984,1183,1532,1881,2230,2579,2928
"112 Tacrolimus + Thrombotic thrombocytopenic purpura",148,310,472,634,796,958,982,1310,1659,2008,2357,2706,3055
"112 Tacrolimus + Thrombotic thrombocytopenic purpura",148,310,472,634,796,958,987,1312,1661,2010,2359,2708,3057
"113 Lamotrigine + Sleep disorder",81,243,405,567,729,891,984,1166,1515,1864,2213,2562,2911
"114 Tacrolimus + Cardiomyopathy",148,310,472,634,796,958,983,1311,1660,2009,2358,2707,3056
"115 Everolimus + Pericardial effusion",55,217,379,541,703,865,983,1112,1461,1810,2159,2508,2857
"116 Amoxicillin + Anaphylactoid reaction",7,169,331,493,655,817,974,1000,1349,1698,2047,2396,2745
"117 Methotrexate + Polyneuropathy",96,258,420,582,744,906,980,1195,1544,1893,2242,2591,2940
"118 Cytarabine + Myelopathy",40,202,364,526,688,850,988,1067,1416,1765,2114,2463,2812
"119 Enoxaparin + Acute myocardial infarction",50,212,374,536,698,860,973,1098,1447,1796,2145,2494,2843
"120 Bupivacaine + Anaphylactic shock",17,179,341,503,665,827,974,1016,1365,1714,2063,2412,2761
"121 Doxorubicin + Venous thrombosis",47,209,371,533,695,857,977,1092,1441,1790,2139,2488,2837
"122 Methylprednisolone + Myocardial infarction",98,260,422,584,746,908,973,1198,1547,1896,2245,2594,2943
"123 Cyclophosphamide + Myocardial ischaemia",39,201,363,525,687,849,973,1056,1405,1754,2103,2452,2801
"124 Iron + Circulatory collapse",79,241,403,565,727,889,974,1163,1512,1861,2210,2559,2908
"125 Clopidogrel + Immune thrombocytopenia",37,199,361,523,685,847,982,1049,1398,1747,2096,2445,2794
"126 Fingolimod + Encephalitis",59,221,383,545,707,869,979,1119,1468,1817,2166,2515,2864
"127 Capecitabine + Myocardial ischaemia",19,181,343,505,667,829,973,1018,1367,1716,2065,2414,2763
"128 Lenalidomide + Deep vein thrombosis",82,244,406,568,730,892,977,1168,1517,1866,2215,2564,2913
"129 Rivaroxaban + Circulatory collapse",138,300,462,624,786,948,974,1286,1635,1984,2333,2682,3031
"130 Nicotine + Myocardial infarction",108,270,432,594,756,918,973,1222,1571,1920,2269,2618,2967
"131 Mycophenolic acid + Thrombocytopenia",106,268,430,592,754,916,982,1217,1566,1915,2264,2613,2962
"132 Rivaroxaban + Subdural haemorrhage",138,300,462,624,786,948,981,1289,1638,1987,2336,2685,3034
"133 Heparin + Thrombophlebitis",71,233,395,557,719,881,977,1144,1493,1842,2191,2540,2889
"134 Metformin + Encephalopathy",95,257,419,581,743,905,979,1192,1541,1890,2239,2588,2937
"135 Docetaxel + Cardiomyopathy",46,208,370,532,694,856,983,1088,1437,1786,2135,2484,2833
"136 Omeprazole + Anaphylactic reaction",114,276,438,600,762,924,974,1235,1584,1933,2282,2631,2980
"137 Octreotide + Myocardial infarction",111,273,435,597,759,921,973,1226,1575,1924,2273,2622,2971
"138 Rivaroxaban + Thrombosis",138,300,462,624,786,948,977,1287,1636,1985,2334,2683,3032
"139 Diphenhydramine + Anaphylactic reaction",45,207,369,531,693,855,974,1085,1434,1783,2132,2481,2830
"140 Rivaroxaban + Pulmonary infarction",138,300,462,624,786,948,986,1293,1642,1991,2340,2689,3038
"141 Levofloxacin + Anaphylactoid reaction",85,247,409,571,733,895,974,1176,1525,1874,2223,2572,2921
"142 Amphotericin b + Anaphylactic reaction",8,170,332,494,656,818,974,1002,1351,1700,2049,2398,2747
"143 Metoprolol + Cerebrovascular accident",100,262,424,586,748,910,985,1204,1553,1902,2251,2600,2949
"144 Cyclophosphamide + Cardiomyopathy",39,201,363,525,687,849,983,1063,1412,1761,2110,2459,2808
"145 Ofloxacin + Anaphylactoid reaction",112,274,436,598,760,922,974,1229,1578,1927,2276,2625,2974
"146 Clopidogrel + Subdural haemorrhage",37,199,361,523,685,847,981,1048,1397,1746,2095,2444,2793
"147 Imatinib + Cerebral haemorrhage",76,238,400,562,724,886,981,1158,1507,1856,2205,2554,2903
"148 Fentanyl + Anaphylactic reaction",57,219,381,543,705,867,974,1115,1464,1813,2162,2511,2860
"149 Ibrutinib + Pericardial effusion",73,235,397,559,721,883,983,1151,1500,1849,2198,2547,2896
"150 Heparin + Embolism",71,233,395,557,719,881,977,1144,1493,1842,2191,2540,2889
"150 Heparin + Embolism",71,233,395,557,719,881,986,1148,1497,1846,2195,2544,2893
"151 Heparin + Embolism",71,233,395,557,719,881,977,1144,1493,1842,2191,2540,2889
"151 Heparin + Embolism",71,233,395,557,719,881,986,1148,1497,1846,2195,2544,2893
"152 Pregabalin + Cerebrovascular accident",128,290,452,614,776,938,985,1267,1616,1965,2314,2663,3012
"153 Moxifloxacin + Anaphylactoid reaction",105,267,429,591,753,915,974,1213,1562,1911,2260,2609,2958
"154 Oxaliplatin + Electrocardiogram ST segment elevation",117,279,441,603,765,927,973,1238,1587,1936,2285,2634,2983
"155 Docetaxel + Phlebitis",46,208,370,532,694,856,977,1087,1436,1785,2134,2483,2832
"156 Ranitidine + Anaphylactic shock",134,296,458,620,782,944,974,1276,1625,1974,2323,2672,3021
"157 Paclitaxel + Anaphylactic shock",119,281,443,605,767,929,974,1244,1593,1942,2291,2640,2989
"158 Apixaban + Deep vein thrombosis",11,173,335,497,659,821,977,1008,1357,1706,2055,2404,2753
"159 Amiodarone + Anaphylactic shock",5,167,329,491,653,815,974,994,1343,1692,2041,2390,2739
"160 Letrozole + Cerebrovascular accident",83,245,407,569,731,893,985,1174,1523,1872,2221,2570,2919
"161 Celecoxib + Pulmonary embolism",26,188,350,512,674,836,986,1032,1381,1730,2079,2428,2777
"162 Metoclopramide + Encephalopathy",99,261,423,585,747,909,979,1201,1550,1899,2248,2597,2946
"163 Everolimus + Pulmonary embolism",55,217,379,541,703,865,986,1113,1462,1811,2160,2509,2858
"164 Levofloxacin + Anaphylactic reaction",85,247,409,571,733,895,974,1176,1525,1874,2223,2572,2921
"165 Cetirizine + Anaphylactic reaction",27,189,351,513,675,837,974,1033,1382,1731,2080,2429,2778
"166 Rivaroxaban + Pericardial effusion",138,300,462,624,786,948,983,1291,1640,1989,2338,2687,3036
"167 Enoxaparin + Cerebral haemorrhage",50,212,374,536,698,860,981,1100,1449,1798,2147,2496,2845
"168 Vancomycin + Immune thrombocytopenia",157,319,481,643,805,967,982,1328,1677,2026,2375,2724,3073
"169 Prednisolone + Polyneuropathy",126,288,450,612,774,936,980,1257,1606,1955,2304,2653,3002
"170 Clarithromycin + Phlebitis",34,196,358,520,682,844,977,1043,1392,1741,2090,2439,2788
"171 Lithium + Polyneuropathy",88,250,412,574,736,898,980,1182,1531,1880,2229,2578,2927
"172 Carboplatin + Thrombocytopenia",21,183,345,507,669,831,982,1024,1373,1722,2071,2420,2769
"173 Fingolimod + Hypersomnia",59,221,383,545,707,869,984,1121,1470,1819,2168,2517,2866
"174 Dexamethasone + Disseminated intravascular coagulation",42,204,366,528,690,852,978,1078,1427,1776,2125,2474,2823
"175 Prednisone + Acute coronary syndrome",127,289,451,613,775,937,973,1259,1608,1957,2306,2655,3004
"176 Lenalidomide + Pericardial effusion",82,244,406,568,730,892,983,1170,1519,1868,2217,2566,2915
"177 Bicalutamide + Myocardial infarction",14,176,338,500,662,824,973,1013,1362,1711,2060,2409,2758
"178 Hydrocortisone + Anaphylactic reaction",72,234,396,558,720,882,974,1149,1498,1847,2196,2545,2894
"179 Risperidone + Myocardial infarction",137,299,461,623,785,947,973,1281,1630,1979,2328,2677,3026
"180 Ribavirin + Sleep disorder",135,297,459,621,783,945,984,1279,1628,1977,2326,2675,3024
"181 Sulfasalazine + Pericarditis",146,308,470,632,794,956,983,1302,1651,2000,2349,2698,3047
"182 Diclofenac + Anaphylactoid reaction",43,205,367,529,691,853,974,1083,1432,1781,2130,2479,2828
"183 Oxaliplatin + Acute coronary syndrome",117,279,441,603,765,927,973,1238,1587,1936,2285,2634,2983
"184 Morphine + Anaphylactic shock",104,266,428,590,752,914,974,1210,1559,1908,2257,2606,2955
"185 Rifabutin + Thrombocytopenia",136,298,460,622,784,946,982,1280,1629,1978,2327,2676,3025
"186 Gemcitabine + Polyneuropathy",68,230,392,554,716,878,980,1138,1487,1836,2185,2534,2883
"187 Mepivacaine + Anaphylactic reaction",94,256,418,580,742,904,974,1190,1539,1888,2237,2586,2935
"188 Imatinib + Haemorrhage intracranial",76,238,400,562,724,886,981,1158,1507,1856,2205,2554,2903
"189 Metformin + Circulatory collapse",95,257,419,581,743,905,974,1191,1540,1889,2238,2587,2936
"190 Lithium + Encephalopathy",88,250,412,574,736,898,979,1181,1530,1879,2228,2577,2926
"191 Ciprofloxacin + Anaphylactic shock",30,192,354,516,678,840,974,1037,1386,1735,2084,2433,2782
"192 Mycophenolic acid + Pericardial effusion",106,268,430,592,754,916,983,1218,1567,1916,2265,2614,2963
"193 Abiraterone + Acute coronary syndrome",1,163,325,487,649,811,973,989,1338,1687,2036,2385,2734
"194 Lenalidomide + Acute myocardial infarction",82,244,406,568,730,892,973,1167,1516,1865,2214,2563,2912
"195 Triamcinolone + Anaphylactoid reaction",156,318,480,642,804,966,974,1324,1673,2022,2371,2720,3069
"196 Rivaroxaban + Pelvic venous thrombosis",138,300,462,624,786,948,977,1287,1636,1985,2334,2683,3032
"197 Medroxyprogesterone + Anaphylactic shock",91,253,415,577,739,901,974,1186,1535,1884,2233,2582,2931
"198 Amiodarone + Polyneuropathy",5,167,329,491,653,815,980,996,1345,1694,2043,2392,2741
"199 Naproxen + Thrombocytopenia",107,269,431,593,755,917,982,1221,1570,1919,2268,2617,2966
"200 Diclofenac + Kounis syndrome",43,205,367,529,691,853,973,1082,1431,1780,2129,2478,2827
"201 Fluticasone + Sleep disorder",64,226,388,550,712,874,984,1129,1478,1827,2176,2525,2874
"202 Dexamethasone + Acute myocardial infarction",42,204,366,528,690,852,973,1074,1423,1772,2121,2470,2819
"203 Heparin + Cerebral haemorrhage",71,233,395,557,719,881,981,1145,1494,1843,2192,2541,2890
"204 Risperidone + Sleep disorder",137,299,461,623,785,947,984,1282,1631,1980,2329,2678,3027
"205 Mirtazapine + Sleep disorder",102,264,426,588,750,912,984,1208,1557,1906,2255,2604,2953
"206 Vancomycin + Circulatory collapse",157,319,481,643,805,967,974,1326,1675,2024,2373,2722,3071
"207 Cefuroxime + Circulatory collapse",25,187,349,511,673,835,974,1031,1380,1729,2078,2427,2776
"208 Paliperidone + Pulmonary embolism",120,282,444,606,768,930,986,1248,1597,1946,2295,2644,2993
"209 Cyclophosphamide + Polyneuropathy",39,201,363,525,687,849,980,1060,1409,1758,2107,2456,2805
"210 Metoprolol + Myocardial infarction",100,262,424,586,748,910,973,1202,1551,1900,2249,2598,2947
"211 Ondansetron + Anaphylactoid reaction",115,277,439,601,763,925,974,1236,1585,1934,2283,2632,2981
"212 Furosemide + Phlebitis",66,228,390,552,714,876,977,1132,1481,1830,2179,2528,2877
"213 Imatinib + Pericarditis",76,238,400,562,724,886,983,1160,1509,1858,2207,2556,2905
"214 Prednisone + Deep vein thrombosis",127,289,451,613,775,937,977,1261,1610,1959,2308,2657,3006
"215 Anastrozole + Pulmonary embolism",10,172,334,496,658,820,986,1006,1355,1704,2053,2402,2751
"216 Doxorubicin + Pericardial effusion",47,209,371,533,695,857,983,1094,1443,1792,2141,2490,2839
"217 Cisatracurium + Anaphylactic shock",31,193,355,517,679,841,974,1040,1389,1738,2087,2436,2785
"218 Pravastatin + Sleep disorder",125,287,449,611,773,935,984,1254,1603,1952,2301,2650,2999
"219 Atomoxetine + Sleep disorder",12,174,336,498,660,822,984,1011,1360,1709,2058,2407,2756
"220 Methotrexate + Leukoencephalopathy",96,258,420,582,744,906,979,1194,1543,1892,2241,2590,2939
"221 Vinorelbine + Myocardial infarction",159,321,483,645,807,969,973,1330,1679,2028,2377,2726,3075
"222 Rivaroxaban + Myocardial infarction",138,300,462,624,786,948,973,1285,1634,1983,2332,2681,3030
"223 Epirubicin + Polyneuropathy",51,213,375,537,699,861,980,1103,1452,1801,2150,2499,2848
"224 Perindopril + Sleep disorder",122,284,446,608,770,932,984,1250,1599,1948,2297,2646,2995
"225 Cytarabine + Pericarditis",40,202,364,526,688,850,983,1065,1414,1763,2112,2461,2810
"226 Fingolimod + Appendicitis",59,221,383,545,707,869,975,1118,1467,1816,2165,2514,2863
"227 Fludarabine + Thrombocytopenia",61,223,385,547,709,871,982,1124,1473,1822,2171,2520,2869
"228 Clopidogrel + Ischaemic stroke",37,199,361,523,685,847,985,1051,1400,1749,2098,2447,2796
"229 Dabigatran + Disseminated intravascular coagulation",41,203,365,527,689,851,978,1069,1418,1767,2116,2465,2814
"230 Cetirizine + Hypersomnia",27,189,351,513,675,837,984,1034,1383,1732,2081,2430,2779
"231 Fluorouracil + Circulatory collapse",62,224,386,548,710,872,974,1125,1474,1823,2172,2521,2870
"232 Rivastigmine + Cerebral infarction",139,301,463,625,787,949,985,1294,1643,1992,2341,2690,3039
"233 Rocuronium + Anaphylactic shock",140,302,464,626,788,950,974,1295,1644,1993,2342,2691,3040
"234 Dexamethasone + Endocarditis",42,204,366,528,690,852,983,1080,1429,1778,2127,2476,2825
"235 Fingolimod + Pericarditis",59,221,383,545,707,869,983,1120,1469,1818,2167,2516,2865
"236 Gemcitabine + Thrombophlebitis",68,230,392,554,716,878,977,1136,1485,1834,2183,2532,2881
"237 Propofol + Circulatory collapse",130,292,454,616,778,940,974,1269,1618,1967,2316,2665,3014
"238 Cyclophosphamide + Cerebral haemorrhage",39,201,363,525,687,849,981,1061,1410,1759,2108,2457,2806
"239 Prednisone + Facial paralysis",127,289,451,613,775,937,976,1260,1609,1958,2307,2656,3005
"240 Olanzapine + Ischaemic stroke",113,275,437,599,761,923,985,1234,1583,1932,2281,2630,2979
"241 Ibrutinib + Thrombocytopenia",73,235,397,559,721,883,982,1150,1499,1848,2197,2546,2895
"242 Tacrolimus + Thrombocytopenia",148,310,472,634,796,958,982,1310,1659,2008,2357,2706,3055
"243 Prednisone + Ischaemic stroke",127,289,451,613,775,937,985,1264,1613,1962,2311,2660,3009
"244 Ibuprofen + Intraventricular haemorrhage",74,236,398,560,722,884,981,1154,1503,1852,2201,2550,2899
"245 Lenalidomide + Thrombophlebitis",82,244,406,568,730,892,977,1168,1517,1866,2215,2564,2913
"246 Oxaliplatin + Circulatory collapse",117,279,441,603,765,927,974,1239,1588,1937,2286,2635,2984
"247 Bleomycin + Pulmonary embolism",16,178,340,502,664,826,986,1015,1364,1713,2062,2411,2760
"248 Oxaliplatin + Anaphylactoid reaction",117,279,441,603,765,927,974,1239,1588,1937,2286,2635,2984
"249 Dexamethasone + Anaphylactic shock",42,204,366,528,690,852,974,1075,1424,1773,2122,2471,2820
"250 Chlorhexidine + Anaphylactic shock",28,190,352,514,676,838,974,1035,1384,1733,2082,2431,2780
"251 Doxorubicin + Myocardial ischaemia",47,209,371,533,695,857,973,1090,1439,1788,2137,2486,2835
"252 Docetaxel + Anaphylactoid reaction",46,208,370,532,694,856,974,1086,1435,1784,2133,2482,2831
"253 Clozapine + Pulmonary embolism",38,200,362,524,686,848,986,1055,1404,1753,2102,2451,2800
"254 Moxifloxacin + Polyneuropathy",105,267,429,591,753,915,980,1214,1563,1912,2261,2610,2959
"255 Rosuvastatin + Cerebrovascular accident",141,303,465,627,789,951,985,1296,1645,1994,2343,2692,3041
"256 Lidocaine + Facial paralysis",87,249,411,573,735,897,976,1180,1529,1878,2227,2576,2925
"257 Amitriptyline + Sleep disorder",6,168,330,492,654,816,984,999,1348,1697,2046,2395,2744
"258 Cefepime + Anaphylactic shock",23,185,347,509,671,833,974,1028,1377,1726,2075,2424,2773
"259 Ampicillin + Anaphylactic shock",9,171,333,495,657,819,974,1003,1352,1701,2050,2399,2748
